Centroid,Voltage Class (kV),Owner
"-95.004715, 29.513048","100-161","CENTERPOINT ENERGY"
"-96.644863, 34.132226","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.364415, 35.419522","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.370068, 35.772053","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.686513, 35.469282","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.586942, 35.312793","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.218804, 35.564651","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.759558, 36.299127","100-161","NOT AVAILABLE"
"-96.990291, 34.550539","100-161","NOT AVAILABLE"
"-98.920001, 35.994059","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-97.648334, 35.442512","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.400672, 34.678846","100-161","NOT AVAILABLE"
"-106.573953, 35.099078","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-97.188666, 33.345872","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.743057, 36.098407","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-95.102479, 30.297973","100-161","ENTERGY TEXAS, INC."
"-94.488853, 34.021003","100-161","NOT AVAILABLE"
"-94.676472, 34.011060","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-100.847203, 37.238059","100-161","NOT AVAILABLE"
"-93.686202, 32.659230","100-161","NOT AVAILABLE"
"-96.010469, 34.313870","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-97.076141, 32.764272","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.501400, 30.315377","100-161","ENTERGY TEXAS, INC."
"-96.187816, 35.143152","100-161","SOUTHWESTERN POWER ADMINISTRATION"
"-97.354980, 35.373731","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-106.622120, 35.089323","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-99.225348, 36.432961","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.352583, 27.636886","100-161","AEP TEXAS CENTRAL CO."
"-99.453677, 35.407920","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-104.944541, 36.382989","100-161","NOT AVAILABLE"
